,training,test,model_score,mouse,nose,total
0,close_rest_m_n,open_rest_mouse,0.95,70(0.35),130(0.65),200
1,close_rest_m_n,close_rest_mouse,0.95,199(0.99),1(0.005),200
2,close_rest_m_n,1back_mouse,0.95,61(0.3),139(0.69),200
3,close_rest_m_n,2back_mouse,0.95,60(0.3),140(0.7),200
4,close_rest_m_n,open_rest_nose,0.95,40(0.2),160(0.8),200
5,close_rest_m_n,close_rest_nose,0.95,1(0.005),199(0.99),200
6,close_rest_m_n,1back_nose,0.95,41(0.2),159(0.8),200
7,close_rest_m_n,2back_nose,0.95,50(0.25),150(0.75),200
8,close_rest_m_n,open_rest_O2,0.95,100(0.5),100(0.5),200
9,close_rest_m_n,close_rest_O2,0.95,101(0.51),99(0.49),200
10,close_rest_m_n,1back_O2,0.95,71(0.35),129(0.65),200
11,close_rest_m_n,2back_O2,0.95,51(0.26),149(0.74),200
12,open_rest_m_n,open_rest_mouse,0.9,198(0.99),2(0.01),200
13,open_rest_m_n,close_rest_mouse,0.875,113(0.56),87(0.43),200
14,open_rest_m_n,1back_mouse,0.875,84(0.42),116(0.58),200
15,open_rest_m_n,2back_mouse,0.875,73(0.36),127(0.64),200
16,open_rest_m_n,open_rest_nose,0.85,3(0.015),197(0.98),200
17,open_rest_m_n,close_rest_nose,0.875,111(0.56),89(0.45),200
18,open_rest_m_n,1back_nose,0.825,92(0.46),108(0.54),200
19,open_rest_m_n,2back_nose,0.875,58(0.29),142(0.71),200
20,open_rest_m_n,open_rest_O2,0.9,118(0.59),82(0.41),200
21,open_rest_m_n,close_rest_O2,0.9,159(0.8),41(0.2),200
22,open_rest_m_n,1back_O2,0.9,82(0.41),118(0.59),200
23,open_rest_m_n,2back_O2,0.875,71(0.35),129(0.65),200
