,channel,LDARF_Coefficient
0,DCh1,0.19525776422923577
1,DCh2,-0.25746992408184866
2,DCh3,-0.042223876508706855
3,DCh4,-0.12181416362015285
4,DCh5,-0.19840193199947867
5,DCh6,0.20260265508936162
6,DCh7,0.14745193113654367
7,DCh8,-0.09774925920744464
8,DCh9,-0.003184080905647695
9,DCh10,-0.0728771915396592
10,DCh11,-0.1506080872508374
11,DCh12,0.3205009739715872
12,DCh13,-0.13075868907949992
13,DCh14,0.08464477474472676
14,DCh15,-0.0739274374671321
15,DCh16,0.2902679163317408
16,DCh17,-0.16123861922196728
17,DCh18,0.0
18,DCh19,-0.17768045752203698
19,DCh20,-0.05222900961444635
20,DCh21,-0.10256975340260992
21,DCh22,-0.187765119170454
22,DCh23,-0.010329971436882092
23,DCh24,0.014468860061147283
24,DCh25,-0.0159685634643518
25,DCh26,0.06445175129926402
26,DCh27,-0.08542869300026061
27,DCh28,-0.0929295184794136
28,DCh29,-0.17812901664927333
29,DCh30,-0.03464046541861901
30,DCh31,0.005309672834078292
31,DCh32,0.2891444795507637
